team,team name,pace,adj pace modifier,adj pace
DEN,Denver Nuggets,95.5,1.047120419,1
MIN,Minnesota Timberwolves,94.1,1.047120419,0.985340314
NYK,New York Knicks,94,1.047120419,0.984293194
OKC,Oklahoma City Thunder,93.5,1.047120419,0.979057592
WAS,Washington Wizards,93.5,1.047120419,0.979057592
MIA,Miami Heat,93.2,1.047120419,0.97591623
SAC,Sacramento Kings,93.1,1.047120419,0.97486911
GSW,Golden State Warriors,93,1.047120419,0.97382199
POR,Portland Trail Blazers,92.9,1.047120419,0.972774869
HOU,Houston Rockets,92.5,1.047120419,0.968586387
MIL,Milwaukee Bucks,92.4,1.047120419,0.967539267
CLE,Cleveland Cavaliers,92.1,1.047120419,0.964397906
DAL,Dallas Mavericks,91.9,1.047120419,0.962303665
MEM,Memphis Grizzlies,91.9,1.047120419,0.962303665
IND,Indiana Pacers,91.9,1.047120419,0.962303665
CHA,Charlotte Bobcats,91.5,1.047120419,0.958115183
PHO,Phoenix Suns,91.2,1.047120419,0.954973822
UTA,Utah Jazz,90.9,1.047120419,0.951832461
SAS,San Antonio Spurs,90.7,1.047120419,0.94973822
LAC,Los Angeles Clippers,90.2,1.047120419,0.944502618
CHI,Chicago Bulls,89.9,1.047120419,0.941361257
ATL,Atlanta Hawks,89.8,1.047120419,0.940314136
PHI,Philadelphia 76ers,89.6,1.047120419,0.938219895
TOR,Toronto Raptors,89.5,1.047120419,0.937172775
LAL,Los Angeles Lakers,89.3,1.047120419,0.935078534
ORL,Orlando Magic,89.3,1.047120419,0.935078534
NJN,New Jersey Nets,88.7,1.047120419,0.928795812
BOS,Boston Celtics,88.5,1.047120419,0.926701571
NOH,New Orleans Hornets,88,1.047120419,0.921465969
DET,Detroit Pistons,88,1.047120419,0.921465969
